numeroParcela;valorParcela;dataVencimentoParcela;origem_arquivo
1;233.07;2019-12-30;parcelas_04426c36-ed68-4aa3-acf7-49306de5fd6c.csv
1;4636.8;2020-09-23;parcelas_0444ee45-a598-4eec-b218-3f6ef81ce742.csv
1;133.3;2017-12-07;parcelas_0448e965-2746-4bc3-9ac4-4b1efa7418f8.csv
1;183.98;2019-12-30;parcelas_044b1684-dc61-49e4-95a2-44390ffbf4dd.csv
1;10034.79;2019-12-30;parcelas_044b1684-dc61-49e4-95a2-44390ffbf4dd.csv
1;725.84;2020-07-30;parcelas_044cc90c-17b2-4e69-9a12-f8ce92924d76.csv
1;290;2020-09-25;parcelas_044d0246-353f-42a8-b1d4-ff3c104ea0ba.csv
1;300936.43;2020-01-02;parcelas_044e1534-f87e-4c18-bfb4-cd5551f34fe5.csv
1;29.49;2020-08-14;parcelas_0452e853-d76b-4c99-a81c-2d1d829ea558.csv
1;3166.26;2020-09-09;parcelas_045bf04a-c16f-4ff4-9171-bb790f735636.csv
1;1885591.11;2020-05-27;parcelas_045deeba-daf9-439f-8fe9-94a6d8a27c61.csv
1;2384.93;2020-07-13;parcelas_0460a7c2-b040-448c-8351-3295a164347d.csv
1;280.39;2020-06-30;parcelas_04623c53-4893-4dda-9294-4cd50def68e8.csv
1;6125;2020-10-30;parcelas_04643e64-5185-4f2a-9f9d-01edc2ffc1c4.csv
1;94682.7;2020-12-18;parcelas_04650bb1-0d47-47eb-9cfa-db21ae7c5c53.csv
1;33787;2020-06-17;parcelas_046cd743-7013-4e1b-8d05-3f7baebe51ac.csv
1;11133.22;2020-09-16;parcelas_047555a6-61d4-4aef-ab28-4d795987942e.csv
1;767991.32;2020-02-26;parcelas_04799ffc-8b69-4fa3-982a-a583650357af.csv
1;775;2020-08-19;parcelas_047a71c4-a477-4417-94e8-527c2c9a42cb.csv
1;79.79;2020-10-08;parcelas_04865d1c-29bf-4bb1-a138-fafd3cba7fd6.csv
1;470;2020-10-01;parcelas_048fc9a0-5e33-4676-8f3e-75597e8630c9.csv
1;79.79;2020-09-16;parcelas_04937c41-55ca-42c4-bf6a-1fa085209e68.csv
1;1836;2020-05-28;parcelas_049c3a90-b519-4e37-95eb-58f05a97709b.csv
1;79.79;2020-12-17;parcelas_049ca676-f76a-4cad-856c-cc77b954f53d.csv
1;66838.41;2020-11-30;parcelas_049fc207-e58c-4004-8a14-792f252b3e22.csv
1;20000;2020-07-01;parcelas_04a55d78-c840-4b03-bcf7-a2eaacbbc1c3.csv
1;256459.45;2020-07-30;parcelas_04b2f136-5bc2-4296-8f36-dd5739fca394.csv
1;5502.28;2020-03-02;parcelas_04b37b9f-e136-4070-a17c-e81d8d4226fe.csv
1;299.7;2020-08-19;parcelas_04bb31f8-ef47-45af-bf56-2859db24223d.csv
1;88.78;2020-01-30;parcelas_04bf632a-27f7-4d79-8092-c2c33de83842.csv
1;1428.56;2020-06-09;parcelas_04c23261-4a05-46dd-9414-8926d90910f7.csv
1;1317.32;2020-10-07;parcelas_04cd8841-dedb-4773-afd5-10df5e0512b8.csv
