idLiquidacao;data;parcela;valor;valorRestosNaoProcessados;anulacoesLiquidacao;retencoesLiquidacao;origem_arquivo
4493;2019-10-03;1;117;0; ;retencoesLiquidacao_61ecd874-21c4-4114-8ecc-55c01457c029.csv;liquidacoes_910f910a-8a27-437c-b986-6b7b1414faf5.csv
4732;2019-10-19;1;117;0; ;retencoesLiquidacao_24899e15-63f7-46b7-bfa0-576c7cddf105.csv;liquidacoes_910f910a-8a27-437c-b986-6b7b1414faf5.csv
5191;2019-10-31;1;351;0; ;retencoesLiquidacao_04881bcc-4b07-4aa3-a41e-01f437f4375f.csv;liquidacoes_910f910a-8a27-437c-b986-6b7b1414faf5.csv
1552;2019-04-30;1;4000;0; ; ;liquidacoes_911ee365-ca2a-4dc3-8baf-b040c8799de7.csv
9509;2019-10-31;1;496.47;0; ; ;liquidacoes_9120f6a3-b2ad-4289-a3ab-df46148e0e6d.csv
2756;2019-06-13;1;1110.25;0; ; ;liquidacoes_9127a71b-e2c3-4bec-80bf-53a222872db2.csv
5180;2019-11-07;1;5527.14;0; ; ;liquidacoes_91289543-a603-4753-bcb3-e4095bf4e02c.csv
5507;2019-11-26;1;4389;0; ; ;liquidacoes_91289543-a603-4753-bcb3-e4095bf4e02c.csv
5680;2019-11-29;1;5745;0; ; ;liquidacoes_91289543-a603-4753-bcb3-e4095bf4e02c.csv
9026;2019-10-16;1;69.53;0; ; ;liquidacoes_912f21f7-9ddb-4856-8ebb-f68b707fef87.csv
405;2019-02-05;1;12795.14;0; ; ;liquidacoes_9137c139-658e-4b0a-92ef-42aa848416f4.csv
248;2019-03-12;1;4158;0; ; ;liquidacoes_913a8746-03e2-4c35-907a-f2ba31fb4f3e.csv
6030;2019-07-18;1;102.58;0; ; ;liquidacoes_913a98b1-be44-4e0a-8183-7adbc70a659f.csv
4559;2019-05-30;1;187;0; ;retencoesLiquidacao_b6cc4b74-8614-4efa-b012-5f77817618b5.csv;liquidacoes_914aa4f1-2885-413f-af3e-738bc68c9f86.csv
1380;2019-10-31;1;25008.75;0; ; ;liquidacoes_9151150a-8a69-4f90-9b90-61f57ef3f9b0.csv
10268;2019-11-21;1;3832.98;0; ; ;liquidacoes_915668db-5a7c-46c2-98fe-4fb6f2c2d223.csv
5852;2019-07-05;1;600;0; ; ;liquidacoes_9160d43c-3e85-47d7-8140-06680cfe9e2c.csv
2699;2019-03-27;1;3080;0; ; ;liquidacoes_9169639b-e413-42f1-b453-fef393ca35e7.csv
6344;2019-07-26;1;24869.55;0; ;retencoesLiquidacao_aaa383a4-7127-4c04-8ad4-6da60f0bd722.csv;liquidacoes_916a5353-8889-41e2-95c5-6ec1b51dcfb0.csv
10916;2019-11-28;1;4440;0; ;retencoesLiquidacao_8517f6ba-d731-4cd9-a2cc-625c3ede6c81.csv;liquidacoes_9171f805-eb5e-490a-925e-94ea8748e0a3.csv
9791;2019-11-04;1;79.79;0; ; ;liquidacoes_917a24fa-b14b-4df6-9bc4-1c49abc39981.csv
10955;2019-12-09;1;1430;0; ;retencoesLiquidacao_fe16baba-147d-4d62-91aa-13c842e5d536.csv;liquidacoes_917ea584-8aca-4b5a-9b92-e442b3245ef4.csv
4331;2019-06-04;1;430.65;0; ;retencoesLiquidacao_650aa6d6-9131-4397-8ec5-0beaaee1288b.csv;liquidacoes_91852dc6-bee1-4e3c-ab11-0e90720a229e.csv
4332;2019-06-04;1;175.45;0; ;retencoesLiquidacao_fd144d3c-23b6-4ba1-bb8a-d5dfcfee05ce.csv;liquidacoes_91852dc6-bee1-4e3c-ab11-0e90720a229e.csv
7517;2019-08-29;1;159.5;0; ;retencoesLiquidacao_4a6cd69b-b2f7-4a52-a737-dbf9f1d81208.csv;liquidacoes_91852dc6-bee1-4e3c-ab11-0e90720a229e.csv
