descricao;idItem;numero;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
9992298 ANEL DE BORRACHA ( =238-601;1298412;1610;8;ATIVO;UNIDADE;42.32;5.29;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
70914465 PINO GRAXEIRO RETO ACO;1298413;1593;15;ATIVO;UNIDADE;103.2;6.88;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85803194 PINO TRAVA;1298414;1589;2;ATIVO;UNIDADE;263.06;131.53;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968515 PARAFUSO DO DISTRIBUIDOR;1298415;1644;2;ATIVO;UNIDADE;245.44;122.72;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
14457481 ANEL DE BORRACHA;1298416;1640;9;ATIVO;UNIDADE;53.28;5.92;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
87743499 BOMBA HIDRAULICA;1298417;1634;2;ATIVO;UNIDADE;14125.98;7062.99;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
79104494 CONJ.TAMPA COMBUSTIVEL C/VA;1298418;1630;2;ATIVO;UNIDADE;646.72;323.36;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85805711 ANEL O PLANETARIO DE BORR;1298419;1526;3;ATIVO;UNIDADE;42.78;14.26;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
81834073 RETENTOR DE OLEO EIXO TRAS.;1298420;1565;2;ATIVO;UNIDADE;87.28;43.64;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
81827354 ANEL BORRACHA O RING DO EIX;1298421;1564;2;ATIVO;UNIDADE;33.34;16.67;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85818819 INTERRUPTOR ELETRICO 12V;1298422;1727;2;ATIVO;UNIDADE;340.18;170.09;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85803957 CJ CABO ELETRICO;1298423;1723;2;ATIVO;UNIDADE;379.1;189.55;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85804674 CJ. CHAVE COMUTADORA;1298424;1718;2;ATIVO;UNIDADE;878.94;439.47;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85803524 CONEXAO RETA DE ACO;1298425;1716;2;ATIVO;UNIDADE;99.7;49.85;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85806133 INTERRUPTOR DE ALERTA ELETR;1298426;1741;2;ATIVO;UNIDADE;663.64;331.82;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
MAO DE OBRA MECANICA;1298429;1759;800;ATIVO;HORAS;83704.0;104.63;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
71100544 VIDRO FRONTAL INFERIOR;1298430;1749;3;ATIVO;UNIDADE;1417.98;472.66;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
75216315 BUZINA;1298431;1740;2;ATIVO;UNIDADE;473.52;236.76;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
87414510 TAMPA DE ACO P/CILIDRO HIDR;1298432;1707;2;ATIVO;UNIDADE;1399.64;699.82;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968471 ANEL DE BORRACHA;1298433;1659;3;ATIVO;UNIDADE;14.85;4.95;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968460 PARAFUSO DE ACO DO DISTRI;1298434;1652;3;ATIVO;UNIDADE;30.54;10.18;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968458 FLANGE DO DISTRIBUIDOR;1298435;1651;3;ATIVO;UNIDADE;18.36;6.12;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968510 PISTAO VALVULA DISTRIBUID;1298436;1649;3;ATIVO;UNIDADE;63.78;21.26;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968441 PORCA DE ACO DO DISTRIBUI;1298437;1676;6;ATIVO;UNIDADE;27.06;4.51;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
70929662 ARRUELA LISA DE ACO 344 X;1298438;1683;5;ATIVO;UNIDADE;12.2;2.44;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968270 ROLAMENTO DE ESFERAS DE ACO;1298446;1489;2;ATIVO;UNIDADE;1416.42;708.21;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968293 MOLA DE ACO DA TRANSMISSA;1298447;1487;2;ATIVO;UNIDADE;166.5;83.25;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968295 ANEL DE ACO P/TRANSMISSAO;1298448;1484;2;ATIVO;UNIDADE;312.36;156.18;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968311 BOMBA DE OLEO DA TRANSMISAO;1298449;1472;2;ATIVO;UNIDADE;7349.54;3674.77;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
5194159 BUCHA DE ACO;1298450;1514;2;ATIVO;UNIDADE;355.52;177.76;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
5194158 ESPACADOR DE ACO;1298451;1513;2;ATIVO;UNIDADE;116.72;58.36;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968007 LUVA DO SUPORTE EIXO DIANTE;1298452;1509;2;ATIVO;UNIDADE;1169.94;584.97;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968006 ANEL DE ENCOSTO;1298453;1507;2;ATIVO;UNIDADE;315.46;157.73;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
9968357 RETENTOR DE OLEO DE BORRACH;1298454;1495;2;ATIVO;UNIDADE;239.64;119.82;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85826303 CABO ACELERADOR;1298455;1423;3;ATIVO;UNIDADE;791.58;263.86;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
85803063 BOIA DO TANQUE COMBUSTIVEL;1298456;1420;2;ATIVO;UNIDADE;747.66;373.83;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
71101707 PISTAO P/MOTOR;1298457;1417;2;ATIVO;UNIDADE;1535.96;767.98;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
J912220 JUNTA DO MOTOR SILENCIOSO;1298458;1450;2;ATIVO;UNIDADE;47.32;23.66;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
86990957 ELEMENTO FILTRO DE COMBUSTI;1298459;1443;15;ATIVO;UNIDADE;1587.6;105.84;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
YN52S00021F1	SENSOR;1298546;305;1;ATIVO;UNIDADE;750.68;750.68;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
2852398 TENSOR;1298548;320;2;ATIVO;UNIDADE;990.42;495.21;itens_c22fa326-3b1f-4f78-8022-0bd18053d285.csv
